email_ratio,file_ratio,http_ratio,device_ratio,logon_ratio,feature_completeness,unique_event_types,mean_feature_0,mean_feature_1,mean_feature_2,mean_feature_3,mean_feature_4,mean_feature_5,mean_feature_6,mean_feature_7,mean_feature_8,mean_feature_9,mean_feature_10,mean_feature_11,mean_feature_12,mean_feature_13,mean_feature_14,mean_feature_15,mean_feature_16,mean_feature_17,mean_feature_18,mean_feature_19,mean_feature_20,mean_feature_21,mean_feature_22,mean_feature_23,mean_feature_24,mean_feature_25,mean_feature_26,mean_feature_27,mean_feature_28,mean_feature_29,mean_feature_30,mean_feature_31,mean_feature_32,mean_feature_33,mean_feature_34,mean_feature_35,mean_feature_36,mean_feature_37,mean_feature_38,mean_feature_39,mean_feature_40,mean_feature_41,mean_feature_42,mean_feature_43,mean_feature_44,mean_feature_45,mean_feature_46,mean_feature_47,mean_feature_48,mean_feature_49,mean_feature_50,mean_feature_51,mean_feature_52,mean_feature_53,mean_feature_54,mean_feature_55,mean_feature_56,mean_feature_57,mean_feature_58,mean_feature_59,mean_feature_60,mean_feature_61,mean_feature_62,mean_feature_63,user,week,session_id,mode,n_events,duration_minutes,malicious_ratio
0.0,0.0,0.0,0.0,1.0,0.59375,1,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,1.0,0.0,0.8660254,-0.5,0.0,1.0,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,0,session,1,0.0,1.0
0.125,0.0,0.625,0.25,0.0,0.69921875,3,0.0,0.25,0.125,0.0,0.625,0.46875003,0.0,1.0,0.0,0.1875,-0.9327224,0.0,1.0,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000004,0.0,0.0,1.0,0.0,8.400001,8.0,2.2,7.2000003,6.5999994,0.0,0.0,0.59999996,0.8000001,0.0,0.01875,0.25,0.0,0.0,0.0,0.12983036,0.005475,0.00775,0.025,0.0,0.025,0.0,0.019799998,0.026875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,1,session,8,177.15,1.0
0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.6736111111111112,4,0.11111111,0.22222222,0.0,0.11111111,0.5555556,0.65740746,0.0,0.8888889,0.0,-0.7918116,-0.5235656,0.0,1.0,0.5,0.8660254,0.2777778,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000004,0.0,0.0,1.0,0.0,8.400001,8.0,2.2,7.2000003,6.5999994,0.0,0.0,0.59999996,0.8000001,0.0,0.0,0.22222222,0.0,0.0,0.0,0.06666667,0.0,0.028084777,0.033333335,0.0005222222,0.0,0.0,0.019622223,0.02888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2,session,9,222.11666666666667,1.0
0.0,0.0,0.5,0.3333333333333333,0.16666666666666666,0.6796875,3,0.16666667,0.33333334,0.0,0.0,0.5,0.39583334,0.14285715,1.0,0.0,0.60355335,-0.7865661,0.7818315,0.6234898,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.400001,8.0,2.2,7.2000003,6.6,0.0,0.0,0.59999996,0.8,0.0,0.0,0.33333334,0.0,0.0,0.0,0.1,0.0,0.0,0.033333335,0.0,0.0,0.0,0.016833333,0.023500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,3,session,6,100.31666666666666,1.0
0.0,0.0,1.0,0.0,0.0,0.671875,1,0.0,0.0,0.0,0.0,1.0,0.5,0.14285715,1.0,0.0,1.2246469e-16,-1.0,0.7818315,0.6234898,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,4,session,2,20.216666666666665,1.0
0.25,0.0,0.25,0.5,0.0,0.7265625,3,0.0,0.5,0.25,0.0,0.25,0.5833333,0.14285715,1.0,0.0,-0.49148148,-0.85127085,0.7818315,0.6234898,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.0125,0.5,0.0,0.0,0.0,0.26107532,0.00965,0.013,0.05,0.0,0.05,0.0,0.006625,0.00975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,5,session,4,77.56666666666666,1.0
0.0,0.0,0.8,0.0,0.2,0.65625,2,0.2,0.0,0.0,0.0,0.8,0.71666664,0.14285715,0.8,0.0,-0.97274065,-0.20705524,0.7818315,0.6234898,0.5,0.8660253,0.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03096,0.044199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,6,session,5,42.166666666666664,1.0
0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6458333333333334,2,0.33333334,0.0,0.0,0.0,0.6666667,0.34722224,0.2857143,1.0,0.0,0.8130525,-0.5690356,0.9749279,-0.22252093,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.1999993,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018066667,0.023999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,7,session,3,49.11666666666667,1.0
0.0,0.0,1.0,0.0,0.0,0.671875,1,0.0,0.0,0.0,0.0,1.0,0.45833334,0.2857143,1.0,0.0,0.25881904,-0.9659258,0.9749279,-0.22252093,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,8,session,1,0.0,1.0
0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.7447916666666666,2,0.0,0.6666667,0.33333334,0.0,0.0,0.5138889,0.2857143,1.0,0.0,-0.086273015,-0.9886419,0.9749279,-0.22252093,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.1999993,6.6,0.0,0.0,0.6,0.8,0.0,0.06666667,0.6666667,0.33333334,0.13333334,0.0,0.34310102,0.013,0.020666666,0.06666667,0.33333334,0.26666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,9,session,3,15.016666666666667,1.0
0.0,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.6732954545454546,4,0.09090909,0.18181819,0.0,0.09090909,0.6363636,0.68560606,0.28571433,0.8181818,0.0,-0.87362427,-0.37039402,0.9749279,-0.22252092,0.5,0.8660253,0.29545453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000007,0.0,0.0,1.0,0.0,8.400001,8.0,2.2000003,7.2,6.599999,0.0,0.0,0.59999996,0.80000013,0.0,0.0,0.18181819,0.0,0.0,0.0,0.05454546,0.0,0.023585387,0.02727273,0.00043636365,0.0,0.0,0.026936363,0.036727276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,10,session,11,230.66666666666666,1.0
0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6458333333333334,2,0.33333334,0.0,0.0,0.0,0.6666667,0.375,0.42857143,1.0,0.0,0.70710677,-0.70710677,0.43388376,-0.90096885,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.1999993,6.6,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197,0.030000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,11,session,3,29.616666666666667,1.0
0.5,0.0,0.5,0.0,0.0,0.71875,2,0.0,0.0,0.5,0.0,0.5,0.45833334,0.42857143,1.0,0.0,0.25881904,-0.9659258,0.43388373,-0.90096885,0.5,0.8660254,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.4,8.0,2.2,7.2,6.6,0.0,0.0,0.6,0.8,0.0,0.025,0.0,0.0,0.0,0.0,0.21510139,0.0194,0.0275,0.0,0.0,0.1,0.0,0.0169,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,12,session,2,10.066666666666666,1.0
0.0,0.3,0.3,0.4,0.0,0.6875,3,0.0,0.4,0.0,0.3,0.3,0.5375,0.4285714,1.0,0.0,-0.23117335,-0.96275055,0.43388373,-0.90096885,0.5,0.8660253,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000004,0.0,0.0,1.0,0.0,8.400001,8.0,2.2000003,7.2,6.5999994,0.0,0.0,0.59999996,0.8000001,0.0,0.0,0.4,0.0,0.0,0.0,0.120000005,0.0,0.05944969,0.07000001,0.0010399999,0.0,0.0,0.00968,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,13,session,10,139.6,1.0
