email_ratio,file_ratio,http_ratio,device_ratio,logon_ratio,feature_completeness,unique_event_types,mean_feature_0,mean_feature_1,mean_feature_2,mean_feature_3,mean_feature_4,mean_feature_5,mean_feature_6,mean_feature_7,mean_feature_8,mean_feature_9,mean_feature_10,mean_feature_11,mean_feature_12,mean_feature_13,mean_feature_14,mean_feature_15,mean_feature_16,mean_feature_17,mean_feature_18,mean_feature_19,mean_feature_20,mean_feature_21,mean_feature_22,mean_feature_23,mean_feature_24,mean_feature_25,mean_feature_26,mean_feature_27,mean_feature_28,mean_feature_29,mean_feature_30,mean_feature_31,mean_feature_32,mean_feature_33,mean_feature_34,mean_feature_35,mean_feature_36,mean_feature_37,mean_feature_38,mean_feature_39,mean_feature_40,mean_feature_41,mean_feature_42,mean_feature_43,mean_feature_44,mean_feature_45,mean_feature_46,mean_feature_47,mean_feature_48,mean_feature_49,mean_feature_50,mean_feature_51,mean_feature_52,mean_feature_53,mean_feature_54,mean_feature_55,mean_feature_56,mean_feature_57,mean_feature_58,mean_feature_59,mean_feature_60,mean_feature_61,mean_feature_62,mean_feature_63,user,week,day,mode,n_events,malicious_ratio
0.05555555555555555,0.05555555555555555,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.6805555555555556,5,0.11111111,0.22222222,0.055555556,0.055555556,0.5555556,0.5555555,0.0,0.9444444,0.0,-0.26445994,-0.70410377,0.0,1.0,0.5,0.8660252,0.2638889,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000007,0.0,0.0,1.0,0.0,8.4,8.0,2.2000003,7.199999,6.599999,0.0,0.0,0.6000001,0.80000013,0.0,0.008333334,0.22222222,0.0,0.0,0.0,0.09103571,0.0024333333,0.017486833,0.027777778,0.0002611111,0.011111111,0.0,0.01861111,0.02638889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2010-01-04,day,18,1.0
0.058823529411764705,0.0,0.5882352941176471,0.23529411764705882,0.11764705882352941,0.6829044117647058,4,0.11764706,0.23529412,0.05882353,0.0,0.5882353,0.54656863,0.14285715,0.9411765,0.0,-0.18872406,-0.6564561,0.7818316,0.62348974,0.5,0.8660252,0.2647059,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000007,0.0,0.0,1.0,0.0,8.400001,8.0,2.2000003,7.199999,6.599999,0.0,0.0,0.6,0.80000013,0.0,0.0029411765,0.23529412,0.0,0.0,0.0,0.0967236,0.0022705884,0.0030588235,0.023529412,0.0,0.011764706,0.0,0.019558825,0.02782353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2010-01-05,day,17,1.0
0.05555555555555555,0.05555555555555555,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.6805555555555556,5,0.11111111,0.22222222,0.055555556,0.055555556,0.5555556,0.5879629,0.28571427,0.8888889,0.0,-0.39837277,-0.53962725,0.9749279,-0.22252089,0.5,0.8660252,0.2777778,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000007,0.0,0.0,1.0,0.0,8.4,8.0,2.2000003,7.199999,6.599999,0.0,0.0,0.6000001,0.80000013,0.0,0.011111111,0.22222222,0.055555556,0.022222223,0.0,0.090516835,0.0021666668,0.017857738,0.027777778,0.05582222,0.044444446,0.0,0.020555556,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2010-01-06,day,18,1.0
0.05,0.15,0.5,0.2,0.1,0.6765625,5,0.1,0.2,0.05,0.15,0.5,0.5416666,0.42857137,1.0,0.0,-0.21013515,-0.7849158,0.43388373,-0.90096873,0.5,0.86602527,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.40000004,0.0,0.0,1.0,0.0,8.4,8.0,2.2000003,7.1999984,6.5999994,0.0,0.0,0.6000001,0.8000001,0.0,0.0025,0.2,0.0,0.0,0.0,0.08151014,0.0019400001,0.032474842,0.035000004,0.00051999994,0.01,0.0,0.0174,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2010-01-07,day,20,1.0
0.045454545454545456,0.22727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.6732954545454546,5,0.09090909,0.18181819,0.045454547,0.22727273,0.45454547,0.56818175,0.57142854,1.0,0.0,-0.33368924,-0.6629773,-0.4338837,-0.90096873,0.5,0.8660253,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,8.399999,8.0,2.2000005,7.1999984,6.6,0.0,0.0,0.60000014,0.8,0.0,0.0045454544,0.18181819,0.0,0.0,0.0,0.0748531,0.0018545456,0.053405855,0.040909097,0.0009909091,0.009090909,0.0,0.017099999,0.023045452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSF0133,0,2010-01-08,day,22,1.0
0.07894736842105263,0.03508771929824561,0.8333333333333334,0.03508771929824561,0.017543859649122806,0.6790021929824561,5,0.01754386,0.03508772,0.078947365,0.03508772,0.8333333,0.46710527,0.0,0.85087717,0.0,0.16245642,-0.71516454,0.0,1.0,0.5,0.86602587,0.2872807,0.0,0.8000005,0.0,0.0,0.0,1.0,0.0,0.40000024,0.0,0.0,0.0,0.0,7.400007,7.2000074,3.6000037,6.0,5.5999985,0.33333334,0.0,0.40000024,0.8000005,0.0,0.009210527,0.03508772,0.04385965,0.007894737,0.0,0.045989346,0.0027017544,0.01278065,0.0070175445,0.044047367,0.022807019,0.0,0.028977195,0.041245617,0.00877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJM0203,0,2010-01-04,day,114,1.0
0.07894736842105263,0.02631578947368421,0.8333333333333334,0.03508771929824561,0.02631578947368421,0.6785910087719298,5,0.02631579,0.03508772,0.078947365,0.02631579,0.8333333,0.436769,0.1428573,0.6403509,0.0,0.30420524,-0.4859526,0.7818305,0.62348944,0.5,0.86602587,0.3399123,0.0,0.8000005,0.0,0.0,0.0,1.0,0.0,0.40000024,0.0,0.0,0.0,0.0,7.400007,7.2000074,3.6000037,6.0,5.5999985,0.33333334,0.0,0.40000024,0.8000005,0.0,0.00877193,0.03508772,0.07017544,0.009649123,0.0,0.04612569,0.0026473685,0.010235899,0.0061403513,0.05276228,0.024561405,0.0,0.028782457,0.041561402,0.00877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJM0203,0,2010-01-05,day,114,1.0
0.07563025210084033,0.04201680672268908,0.7983193277310925,0.05042016806722689,0.03361344537815126,0.6781775210084033,5,0.033613447,0.05042017,0.075630255,0.042016808,0.79831934,0.4821429,0.28571454,0.85714287,0.0,0.082086444,-0.7103524,0.9749293,-0.22252084,0.5,0.866026,0.2857143,0.0,0.8000006,0.0,0.0,0.0,1.0,0.0,0.4000003,0.0,0.0,0.0,0.0,7.4000077,7.2000074,3.6000037,6.0,5.5999975,0.33333328,0.0,0.4000003,0.8000006,0.0,0.005462185,0.05042017,0.008403362,0.0025210085,0.0,0.04835665,0.0024092437,0.014214467,0.009243699,0.00020756303,0.02016807,0.0,0.027756296,0.03909243,0.008403362,0.0,0.008403362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJM0203,0,2010-01-06,day,119,1.0
0.08411214953271028,0.0,0.8878504672897196,0.0,0.028037383177570093,0.677570093457944,3,0.028037382,0.0,0.08411215,0.0,0.88785046,0.4042058,0.42857105,0.55140185,0.0,0.43398812,-0.4749132,0.4338837,-0.9009698,0.5,0.86602575,0.36214954,0.0,0.80000037,0.0,0.0,0.0,1.0,0.0,0.40000018,0.0,0.0,0.0,0.0,7.400006,7.200007,3.6000035,6.0,5.6,0.3333334,0.0,0.40000018,0.80000037,0.0,0.008878505,0.0,0.07476635,0.010280374,0.0,0.03717144,0.0026700934,0.0037943923,0.0,0.056074765,0.024299067,0.0,0.031164492,0.044149544,0.018691588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJM0203,0,2010-01-07,day,107,1.0
0.07894736842105263,0.02631578947368421,0.8333333333333334,0.03508771929824561,0.02631578947368421,0.6785910087719298,5,0.02631579,0.03508772,0.078947365,0.02631579,0.8333333,0.4707603,0.5714292,0.88596493,0.0,0.13811785,-0.6653759,-0.4338837,-0.90096986,0.5,0.86602587,0.27850878,0.0,0.8000005,0.0,0.0,0.0,1.0,0.0,0.40000024,0.0,0.0,0.0,0.0,7.400007,7.2000074,3.6000037,6.0,5.5999985,0.33333334,0.0,0.40000024,0.8000005,0.0,0.007894737,0.03508772,0.02631579,0.004385965,0.0,0.045904692,0.002907895,0.010900339,0.02368421,0.008920175,0.02280702,0.0,0.029816665,0.04220176,0.00877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJM0203,0,2010-01-08,day,114,1.0
